geojson_admin3_code,geojson_admin3_name,geojson_admin2_name,geojson_admin1_name,geojson_normalized_name,citypopulation_parent_code,citypopulation_parent_name,suggested_parent_code,suggested_parent_name,suggested_parent_score,allocation_weight,notes
ET030216,Wegeda town,South Gondar,Amhara,wegeda,,,,,,,
ET030217,Ebenat town,South Gondar,Amhara,ebenat,,,,,,,
ET030218,Hamusit town,South Gondar,Amhara,hamusit,,,,,,,
ET030293,Woreta town,South Gondar,Amhara,woreta,,,,,,,
ET030298,Mekan Eyesuse,South Gondar,Amhara,mekaneyesuse,,,,,,,
ET030299,Adiss Zemen town,South Gondar,Amhara,adisszemen,,,,,,,
ET030306,Hara town,North Wello,Amhara,hara,,,,,,,
ET030312,Gazo,North Wello,Amhara,gazo,,,,,,,
ET030313,Angot,North Wello,Amhara,angot,,,,,,,
ET030314,Filakit town,North Wello,Amhara,filakit,,,,,,,
ET030315,Gashena town,North Wello,Amhara,gashena,,,,,,,
ET030397,Mersa town,North Wello,Amhara,mersa,,,,,,,
ET030398,Lalibela town,North Wello,Amhara,lalibela,,,,,,,
ET030424,Wegel tena town,South Wello,Amhara,wegeltena,,,,,,,
ET030425,Degolo town,South Wello,Amhara,degolo,,,,,,,
ET030426,Kelala town,South Wello,Amhara,kelala,,,,,,,
ET030427,Akeseta town,South Wello,Amhara,akeseta,,,,,,,
ET030428,Tulu Awlia,South Wello,Amhara,tuluawlia,,,,,,,
ET030429,Harbu town,South Wello,Amhara,harbu,,,,,,,
ET030498,Mekane Selame,South Wello,Amhara,mekaneselame,,,,,,,
ET030499,Hike town,South Wello,Amhara,hike,,,,,,,
ET030524,Tulefa town,North Shewa (AM),Amhara,tulefa,,,,,,,
ET030525,Arerti town,North Shewa (AM),Amhara,arerti,,,,,,,
ET030526,Molale town,North Shewa (AM),Amhara,molale,,,,,,,
ET030595,Shoa Robit,North Shewa (AM),Amhara,shoarobit,,,,,,,
ET030597,Mehale Meda town,North Shewa (AM),Amhara,mehalemeda,,,,,,,
ET030598,Ataye town,North Shewa (AM),Amhara,ataye,,,,,,,
ET030599,Aleme Ketma town,North Shewa (AM),Amhara,alemeketma,,,,,,,
ET030618,Amanuel town,East Gojam,Amhara,amanuel,,,,,,,
ET030619,Sedae,East Gojam,Amhara,sedae,,,,,,,
ET030620,Gundwoin town,East Gojam,Amhara,gundwoin,,,,,,,
ET030621,Debrework town,East Gojam,Amhara,debrework,,,,,,,
ET030622,Lumame town,East Gojam,Amhara,lumame,,,,,,,
ET030623,Merto Lemariyam town,East Gojam,Amhara,mertolemariyam,,,,,,,
ET030694,Mota Town,East Gojam,Amhara,mota,,,,,,,
ET030699,Bechena Town,East Gojam,Amhara,bechena,,,,,,,
ET030715,Debub Mecha,West Gojam,Amhara,debubmecha,,,,,,,
ET030716,Shendi town,West Gojam,Amhara,shendi,,,,,,,
ET030719,Dure Bete,West Gojam,Amhara,durebete,,,,,,,
ET030720,Jiga town,West Gojam,Amhara,jiga,,,,,,,
ET030797,Merawi town,West Gojam,Amhara,merawi,,,,,,,
ET030799,Adete town,West Gojam,Amhara,adete,,,,,,,
ET030808,Tsagbeji,Wag Hamra,Amhara,tsagbeji,,,,,,,
ET030809,Amde Work town,Wag Hamra,Amhara,amdework,,,,,,,
ET030908,Ayehu Guwagusa,Awi,Amhara,ayehuguwagusa,,,,,,,
ET030909,Agew Gimija Bet,Awi,Amhara,agewgimijabet,,,,,,,
ET030910,Adiss Kidame town,Awi,Amhara,adisskidame,,,,,,,
ET030911,Tilili town,Awi,Amhara,tilili,,,,,,,
ET030912,Fendika town,Awi,Amhara,fendika,,,,,,,
ET030996,Injibara town,Awi,Amhara,injibara,,,,,,,
ET030997,Zigem,Awi,Amhara,zigem,,,,,,,
ET030999,Chagni town,Awi,Amhara,chagni,,,,,,,
ET031007,Chef Robit town,Oromia,Amhara,chefrobit,,,,,,,
ET031008,Senbete town,Oromia,Amhara,senbete,,,,,,,
ET031103,Amba Giorgis town,Central Gondar,Amhara,ambagiorgis,,,,,,,
ET031104,Shawra town,Central Gondar,Amhara,shawra,,,,,,,
ET031105,Kolla Debba town,Central Gondar,Amhara,kolladebba,,,,,,,
ET031106,Chilga 1,Central Gondar,Amhara,chilga1,,,,,,,
ET031119,Masero Denb /Central Armacho,Central Gondar,Amhara,maserodenbcentralarmacho,,,,,,,
ET031122,Kinfaz Begela,Central Gondar,Amhara,kinfazbegela,,,,,,,
ET031125,West Dembiya,Central Gondar,Amhara,westdembiya,,,,,,,
ET031199,Aykel town,Central Gondar,Amhara,aykel,,,,,,,
ET031205,Adagn Ager Chaqo,West Gondar,Amhara,adagnagerchaqo,,,,,,,
ET031223,Midre Genet,West Gondar,Amhara,midregenet,,,,,,,
ET031224,Metema Yohanes town,West Gondar,Amhara,metemayohanes,,,,,,,
ET031292,Gendawuha town,West Gondar,Amhara,gendawuha,,,,,,,
ET040197,Leta Sibu,West Wellega,Oromia,letasibu,,,,,,,
ET040198,Mendi town,West Wellega,Oromia,mendi,,,,,,,
ET040217,Kiremu,East Wellega,Oromia,kiremu,,,,,,,
ET040490,Mancho,Jimma,Oromia,mancho,,,,,,,
ET040491,Omo Beyam,Jimma,Oromia,omobeyam,,,,,,,
ET040495,Botor Tolay,Jimma,Oromia,botortolay,,,,,,,
ET040499,Nono Benja,Jimma,Oromia,nonobenja,,,,,,,
ET040500,Illu Galan,West Shewa,Oromia,illugalan,,,,,,,
ET040590,Ejersa Lafo,West Shewa,Oromia,ejersalafo,,,,,,,
ET040592,Cobi,West Shewa,Oromia,cobi,,,,,,,
ET040594,Meta Walkite,West Shewa,Oromia,metawalkite,,,,,,,
ET040597,Liban Jawi,West Shewa,Oromia,libanjawi,,,,,,,
ET040797,Mojo Town,East Shewa,Oromia,mojo,,,,,,,
ET040799,Metehara town,East Shewa,Oromia,metehara,,,,,,,
ET040893,Shanan Kolu,Arsi,Oromia,shanankolu,,,,,,,
