pcode,region,zone,woreda_name,report
ET030402,Amhara,South Wello,Tenta,1
ET030405,Amhara,South Wello,Thehulederie,1
ET030416,Amhara,South Wello,Wegde,1
ET030430,Amhara,South Wello,Wegedi town,1
ET030424,Amhara,South Wello,Wegel tena town,1
ET030415,Amhara,South Wello,Were Ilu,1
ET030423,Amhara,South Wello,Wereilu town,1
ET030422,Amhara,South Wello,Worebabu,1
ET030805,Amhara,Wag Hamra,Abergele (AM),1
ET030809,Amhara,Wag Hamra,Amde Work town,1
ET030803,Amhara,Wag Hamra,Dehana,1
ET030804,Amhara,Wag Hamra,Gaz Gibla,1
ET030806,Amhara,Wag Hamra,Sahila,1
ET030802,Amhara,Wag Hamra,Sekota,1
ET030807,Amhara,Wag Hamra,Sekota town,1
ET030808,Amhara,Wag Hamra,Tsagbeji,1
ET030801,Amhara,Wag Hamra,Zequala,1
ET030710,Amhara,West Gojam,Bure (AM),1
ET030798,Amhara,West Gojam,Bure town,1
ET030707,Amhara,West Gojam,Dega Damot,1
ET030708,Amhara,West Gojam,Dembecha,1
ET030717,Amhara,West Gojam,Denbecha town,1
ET030714,Amhara,West Gojam,Finote Selam town,1
ET030709,Amhara,West Gojam,Jabi Tehnan,1
ET030720,Amhara,West Gojam,Jiga town,1
ET030706,Amhara,West Gojam,Quarit,1
ET030705,Amhara,West Gojam,Sekela,1
ET030716,Amhara,West Gojam,Shendi town,1
ET030711,Amhara,West Gojam,Wemberma,1
ET031205,Amhara,West Gondar,Adagn Ager Chaqo,1
ET031292,Amhara,West Gondar,Gendawuha town,1
ET031213,Amhara,West Gondar,Metema,1
ET031224,Amhara,West Gondar,Metema Yohanes town,1
ET031223,Amhara,West Gondar,Midre Genet,1
ET031206,Amhara,West Gondar,Mirab Armacho,1
ET031214,Amhara,West Gondar,Quara,1
ET060303,Benishangul-Gumuz,Assosa,Abrahmo,1
ET060309,Benishangul-Gumuz,Assosa,Assosa town Admin,1
ET060305,Benishangul-Gumuz,Assosa,Bambasi,1
ET060310,Benishangul-Gumuz,Assosa,Bambasi town,1
ET060306,Benishangul-Gumuz,Assosa,Bilidigilu,1
ET060307,Benishangul-Gumuz,Assosa,Homosha,1
ET060302,Benishangul-Gumuz,Assosa,Kurmuk,1
ET060301,Benishangul-Gumuz,Assosa,Menge,1
ET060304,Benishangul-Gumuz,Assosa,Sherkole,1
ET060308,Benishangul-Gumuz,Assosa,Undulu,1
ET060311,Benishangul-Gumuz,Assosa,Ura,1
ET060404,Benishangul-Gumuz,Kamashi,Dembe,1
ET060403,Benishangul-Gumuz,Kamashi,Kamashi,1
ET060400,Benishangul-Gumuz,Kamashi,Kamashi town,1
ET060405,Benishangul-Gumuz,Kamashi,Mezniga,1
ET060402,Benishangul-Gumuz,Kamashi,Sedal,1
ET060401,Benishangul-Gumuz,Kamashi,Zayi,1
ET060508,Benishangul-Gumuz,Mao-komo Special,Mao-komo Special,1
ET060207,Benishangul-Gumuz,Metekel,Bulen,1
ET060201,Benishangul-Gumuz,Metekel,Dangur,1
ET060205,Benishangul-Gumuz,Metekel,Dibate,1
ET060200,Benishangul-Gumuz,Metekel,Gilgel Beles town,1
ET060202,Benishangul-Gumuz,Metekel,Guba,1
ET060204,Benishangul-Gumuz,Metekel,Mandura,1
ET060206,Benishangul-Gumuz,Metekel,Pawe,1
ET060203,Benishangul-Gumuz,Metekel,Wembera,1
ET070402,Central Ethiopia,East Guraghe,Bui town,1
ET070401,Central Ethiopia,East Guraghe,Butajira town,1
