woreda_name,environ_var_code,week_epidemiar,ref_value,ref_sd,ref_yrcount,ref_max,ref_uq,ref_median,ref_lq,ref_min
Choman Guduru,ndvi,20,0.13975192,0.25322685,12,0.58214500,0.13011050,0.00000000,0.00000000,0.00000000
Choman Guduru,ndvi,21,0.41613517,0.25411561,12,0.61113200,0.58489275,0.52256000,0.35878725,0.00000000
Choman Guduru,ndvi,22,0.00000000,0.00000000,12,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Choman Guduru,ndvi,23,0.54123508,0.17290865,12,0.62668600,0.61563550,0.58771350,0.56514775,0.00000000
Choman Guduru,ndvi,24,0.04905817,0.16994247,12,0.58869800,0.00000000,0.00000000,0.00000000,0.00000000
Choman Guduru,ndvi,25,0.33583133,0.30205211,12,0.63953800,0.60125550,0.48080700,0.00000000,0.00000000
Choman Guduru,ndvi,26,0.24318292,0.30170632,12,0.64252300,0.55933500,0.00000000,0.00000000,0.00000000
Choman Guduru,ndvi,27,0.19082075,0.28405020,12,0.66318800,0.51900500,0.00000000,0.00000000,0.00000000
Choman Guduru,ndvi,28,0.33044983,0.26823100,12,0.61788600,0.56338125,0.45963050,0.00000000,0.00000000
Choman Guduru,ndvi,29,0.00000000,0.00000000,12,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Choman Guduru,ndvi,30,0.50781700,0.12998123,12,0.66058300,0.60071625,0.56528650,0.40882900,0.26494500
Choman Guduru,ndvi,31,0.00000000,0.00000000,12,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Choman Guduru,ndvi,32,0.44914167,0.28920677,12,0.74105500,0.65336550,0.57291400,0.24493350,0.00000000
Choman Guduru,ndvi,33,0.12385908,0.23570034,12,0.62522000,0.07525325,0.00000000,0.00000000,0.00000000
Choman Guduru,ndvi,34,0.33839092,0.35406016,12,0.73319400,0.67269850,0.32067500,0.00000000,0.00000000
Choman Guduru,ndvi,35,0.33887642,0.35468728,12,0.71393500,0.68083575,0.30861550,0.00000000,0.00000000
Choman Guduru,ndvi,36,0.18145675,0.32831027,12,0.73324700,0.17787475,0.00000000,0.00000000,0.00000000
Choman Guduru,ndvi,37,0.54233292,0.32758905,12,0.75267400,0.73017475,0.71300350,0.51800175,0.00000000
Choman Guduru,ndvi,38,0.00000000,0.00000000,12,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Choman Guduru,ndvi,39,0.65259042,0.20664443,12,0.76025500,0.72034325,0.71298500,0.69536850,0.00000000
Choman Guduru,ndvi,40,0.06271492,0.21725084,12,0.75257900,0.00000000,0.00000000,0.00000000,0.00000000
Choman Guduru,ndvi,41,0.39420467,0.34829140,12,0.71466900,0.67214525,0.65777000,0.00000000,0.00000000
Choman Guduru,ndvi,42,0.27573233,0.34112941,12,0.68731500,0.65325525,0.00000000,0.00000000,0.00000000
Choman Guduru,ndvi,43,0.20613817,0.30462014,12,0.63521500,0.60049775,0.00000000,0.00000000,0.00000000
Choman Guduru,ndvi,44,0.41097850,0.30389091,12,0.64485100,0.61589900,0.60148350,0.00000000,0.00000000
Choman Guduru,ndvi,45,0.00000000,0.00000000,12,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Choman Guduru,ndvi,46,0.57506425,0.02964522,12,0.63125200,0.58138650,0.57371050,0.56057000,0.52005300
Choman Guduru,ndvi,47,0.00000000,0.00000000,12,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Choman Guduru,ndvi,48,0.38958492,0.23655202,12,0.55143400,0.54614950,0.50947750,0.34205550,0.00000000
Choman Guduru,ndvi,49,0.14497008,0.26230522,12,0.59064600,0.14201600,0.00000000,0.00000000,0.00000000
Choman Guduru,ndvi,50,0.23946908,0.25193520,12,0.53398900,0.48812900,0.20980600,0.00000000,0.00000000
Choman Guduru,ndvi,51,0.24773517,0.25938911,12,0.53100600,0.49035025,0.23073850,0.00000000,0.00000000
Choman Guduru,ndvi,52,0.27998646,0.23160849,13,0.49508900,0.46835000,0.42996600,0.00000000,0.00000000
